,Customer Name,Review Title,Rating,Reviews
135,sasikumar,The best one and good speed,3.0 out of 5 stars,  This is my first one pulse phone.after using one week this phone i am giving this review.Actually i bought this phone for Forex trading and Youtube video editing now i happy both are working fine. Compare with my last Realmente phone.~super fast figner print.~Good camera quality~Battery life super and very fast charging with 30min will get fullcharge.~While using hotspot get little heat and this very disappointed but every phone reflect the heat.~While Video editing and playing games very nice.
136,Shikhar Singh Pal,Over all experience from a week,3.0 out of 5 stars,"  I am using this product from more than a week now and there are some optimization issues when we open gallery it takes time to load it ,mx player is not working properly , camera is ok not so good , battery is also average , phone is overheating very much while setting up the phone it stated it to overheat and when playing games like cod and pubg with in 15 mins of gaming it started to overheat other things are ok"
137,Siddhu,Better To Improve Battery Life.,4.0 out of 5 stars,"  So, I'm new to the OnePlus User. But I'm really love in One Plus Mobiles. I've bought this device with my Xiaomi note 6 Pro exchange offer 6600/- Price Was Fine.Coming to One Plus 9R Review -  I'm writing review  of Purchasing 3rd day of this device . Mobile was awesome actually! No Major Defects and all. I'm in Love with this UI. • What I've Observed in First day was when I turned on and Signing to my Google Accounts and Fixing everything my stuff on mobile,At that time I've realised Device Got ""HEAT"" Coz of Usage. Battery Percentage is Getting Down Simply.• When You turned on device itself You'll get a latest Update, Once you update to the latest. Battery Performance will be Change, Heating Issue Some be Better than Previous!!• When I'm Playing COD Game, Battery Life was Better. NOT BAD & NOT GOOD. JUST BETTER!! Battery Performance Overall Rate 3/5• Camera Was Fantastic. Stability Was Good, No Cons On this.• Cons On App Lock Settings - There is No Option Called ""Device Get Immediately Lock After Closing App "" Once Screen Locked,Then Only App will Lock Or else if You open the App which you kept App lock Option, first time itself it will ask Lock next it won't ask lock if screen awakes!!• There is no Hidden Files Option for Gallery. Option was there, But not Secured!! Just Like Hidden Album in Gallery which it is not secure. Some Different with Xiaomi Features.• Fingerprint Reader Was Good. Working Awesome!!"
138,amrendra m.,Average quality mobile with this price.,4.0 out of 5 stars,"  I got the mobile on 19 April so today it's one month and 6 days.So let's review the phone based on my experience.1. Wrap charger 65 W which is superb and less than 45 minutes your battery will be 100 percent and the important part is the battery will not drain quickly as compared to the speed with the battery charges.2. Looks and feel of the phone is very good . Very smooth finishing.3. Touch sensor are very good with no problem whatsoever.4. Camera quality is very good at day times and all the other functions like nightscape, pro mode and 48 MP camera will not serve the purpose of you are very much interested in photography.5. After using for one week you will feel your phone a little okayish type.So with the price of 44k it's good to search more phones because you don't feel wow after using the cell phone for one month."
139,sravani,The mobile is not perfect but you can go for it.,4.0 out of 5 stars,"  After using the mobile for a week, I'm writing this review.I will be rating each aspect of the phone including the OSI will be honest, intial impressions were prety bad for me because of the heating  and the battery drain issues.Overall experience (4/5): The mobile used to heat up a lot which makes it very uncomfortable to use especially during the first two days. But after some days of use and the updates, it got better.Oxygen OS(5/5): This is my first Oneplus device so I found the OS very clean and snappy.Screen(5/5): The mobile has got an amazing buttery smooth display. Once we get used to it, we can't switch back for other normal displays.Camera(3.5/5): I won't say the camera is bad but it suffers in low light conditions especially the front camera. But the rear camera really takes some good shots in effective light conditions.Build quality (5/5):The phone has a great in hand  feel and it also feels light in weight.For all those people who are holding back thinking of the heating issue.. I too faced them but it subdued after some days."
140,Sanjay t,Awesome phone with average rear camera,4.0 out of 5 stars,"  My reviews after 10 days use : as a First time One + user..i clearly give a thumbs up to the super smooth oxygen os, the phone built is premium & sturdy. Battery back up : decent  screen time of 9hr. 30 mins, full charging takes  :45 mins. Speakers are awesome, music playback through earphones or Bluetooth speakers is louder . Awestruck by the display, its a treat to watch Netflix on this phone. I find that the network aggregation works well & the internet speed is better. Many of the apps like parallel space, app locks & other utilities etc are inbuilt. I have had interactions with the customer care & the seem to be supportive. The heating issue after the update only remains during camera usage.Cons : The only con I find is  the quality of picture taken by the rear camera. Needs improvement picture becomes over saturated & a bit dark. Selfie camera is nice though. Hoping things improve with updates"
141,Aryan m.,BANG FOR BUCK!!!,4.0 out of 5 stars,"  oneplus 9r is best gaming smartphone and also cheap i will tell things i like and dislike about this phone.1.camera quality is good but not excellent.and i am fine with it.2.for some reason i dont know why it takes me longer to charge(it takes like more than 40 mins) despite having 65 walts fast charging support.3.sometimes phones heats up too much even when i dont do the heavy task and sometimes even if i play games like pubg,cod mobile for like 1 hour it doesnt heat too much. i think it will be solved by future updates but its very bad issue.4.games run buttery smooth.there is no lag,no touch issues and the screen has no black spot or green tint or anythingoverall its better to buy this phone than the 9 or 9 pro because the camera quality is almost same in all three devices.i bought oneplus 9 pro before and after 3 days i returned it and bought this phone and i am really satisfied with it."
142,lalit kumar,"Overall , it is indeed a good investment in the price.",5.0 out of 5 stars,"  Details review for One Plus 9R (1 month Usage)Overall opinion - You should either buy 9R or Pro, 9 is not worth the price.• The performance is amazing in terms of high end gaming or heavy apps you will not feel the lag.• The camera is bit tricky to say, It can be 8/10, in the price segment, Low light is ok but not great, Wide angle is great, however macro is 50-50. Overall 8/10 for camera.• Figer print and face unlock is 10/10. Even with your mask of specs it will recognise you.Battery life is great.• Charging the phone is suprising super fast. Just 15 min you are good to go. Also, since phone is packed with feature, it do lose battery life bit faster then normal.Overall , it is indeed a good investment in the price."
143,vikas,Oneplus 9R Honest review,4.0 out of 5 stars,"  The phone was pretty good. I had the 12 GB Ram 256 GB Rom variant.the battery life was very good and the charging was quite fast it had charged in 45 minutes ( with wifi and location services on ) the camera was decent not that good . I hope the camera would be better. one biggest hardware issue was that the  dual speaker ,where the upper ear speaker was not calibrated. when you play sounds louder you can feel the back vibrating it is verey noticable( above 75%of the volume)  .you can turn off dual speakers by enabling mono audio in settings .besides this everything Is goodOxygen Os Is the best os according to me------------------------------------------------------•For gaming and mobile experience it is good•And for photography its not that worth"
144,Ramesh reddy,There are few problems but worth purchasing. Go for it while you get get additional discount.,4.0 out of 5 stars,"  This is my first time experience with OnePlus.1. OP9R built quality is exceeded my expectations, everything is good. I feel little heavy in my hands.2. Camere quality is good3. Fluid display is awesome, thoughtl i have used only limited time in 120Hz (to save the battery), I can very well notice the difference.4. SP 870 is simply superb, met my expectations.5. Volume and Power buttons are of great quality and gives nice feel to press.6. Aluminum fishing is lit. Gives premium feel.Cons:1. Heating issues - not very much but noticable. When you use camera, it gets heated even more easily.2. Charging speed is not like what they have advertised. It takes 50-60 mins to charge full. Disappointed with the false promises.3. Screen flickering issues while using telegram, notifications, and picking calls. (Hope they'll clear this in next update)4. Screenshots are not of great quality. My old mobile takes clear screenshots than this.5. When you tap 'Mark as read' chat notifications of telegram, they'll be still there. Don't know why.6. OnePlus lancher is consuming more battery.Over-all worth purchasing. Looking for an update where these small issues gets clear."
145,RohanGhugari,Great phone. Will get better with software updates. Would recommend 8/10.,4.0 out of 5 stars,"  I bought this phone because I've been a OnePlus user for a long time. This phone is a great phone in the latest line of OnePlus.Battery: It is a beast when it comes to battery life. I use it at 120Hz all the time and I cannot kill it within a day. Warp charging is the chrerry on top.Display: Great display. Great color science. Accurate colors. Viewing angle is great .Camera: Underwhelming. It will get better with software updates (I hope). But as of right now its not good. There is a lag when photo is clicked. Photos come out little muted. I would recommend install Google camera.Software: Best OS other than stock. It's fast,smooth,many customisation options, bit there are little bugs but it's not a deal breaker.Sound: Good quality speakers. They are loud stereo speakers. You get the option of Dolby if you want to enhance your listening experience. Call quality is good no issues.Haptic : Good haptic motor. Strong haptic feedback.Fingerprint reader: There has not been a problem for me. It has worked for me 95 % of the time. It's fast so...no complaint."
146,Srikanth reddy,Good product from oneplus,5.0 out of 5 stars,"  This is more valve when compared to all the 9 series phones.Impressed with the build quality, fast charging, display, Operating system, colour and design. Camaras are fine but not great. Overall, perfect phone to use in this price.Practical phone to use"
147,Dr Azhar,"Rebadged OnePlus 8T, disappointed.",3.0 out of 5 stars,"  It's just a rebadged version of OnePlus 8T. Was excited at the beginning but got disappointed within a day to have found out its the same old phone and nothing new in it, poor camera quality lot of noise in low light pictures and it doesn't feel premium for the exorbitant price they are selling, though the phone runs smooth. OnePlus you need to up your game, or u r gonna be next nokia. Should have opted for mi 11 ultra for another 15K+ which is comparable to the likes of galaxy s21 ultra."
148,Sanjay,"Meets expectations, good buy!",4.0 out of 5 stars,"  First couple of days I faced battery heating issues, but now it runs pretty smooth. As usual, the oneplus camera does not disappoint and does a really good job while taking pictures.120h refresh rate makes this phone very smooth to use and while gaming as well. Overall 4 out of 5 because it does meet my expectation and I feel this is a better buy than oneplus 9."
149,Vamsi,A very good phone - from a first time flagship user,5.0 out of 5 stars,"  I've been using the 128GB version for almost a month now. I took a huge chance by getting it, but I'd say I'm satisfied with my purchase. Oxygen os made the overall usage excellent, highly optimised with a great balance of customisation. As someone who enjoys music and occasional games, I found this device to be amazing. Gets slightly warm when playing cod on maxed out graphics, but very manageable. It's not noticeable with the case provided in the box. I usually go on meetings for 1.5-2 hrs a day, haven't faced a problem with the call quality even once. Vowifi works brilliantly on Airtel in HYD. I found the display to be brilliant color reproduction wise. But I wished the highest brightness were slightly higher under direct sunlight, and the least brightness a lot lower-its way too bright for my liking in a dark room. I was slightly disappointed with the camera, but after using an Asus zenfone max pro m1 since it's launch, I can say this still is not bad at all in ideal conditions. Music output through wired earphones is amazing with Dolby Atmos, just the way I imagined a flagship to be. Earlier reviews mentioned average battery life. After the initial ota updates, I managed to extract 7+ hrs of screen on time consistently with the haptics turned off and 60hz refresh rate, with~20% remaining after 24 hrs. And the best part is, it charges up to 100% in less than 30mins. lastly, I haven't noticed any heating issues after the initial ota update. Coming to 5G, this device only supports one band- when the name prouldy includes this tag.Sorry for the long review, but this would be a 10/10 device if not for the slightly average camera and the lack of multiple 5G band support. (Overall 8.6/10)"
150,Amazon Customer,After 6 purchases of various One Plus phones.....,4.0 out of 5 stars,"  I have been using one plus for more than 6 years now n this is my fiftg one - after purchasing one plus 3, then 3T, then 6 then a nord and now this one.  All of them brought thru Amazon.  All the earlier ones performed well. Infact both 3&3T r still in use. Although service team has denied offering any spare r service for both of them citing products EoL. But that's a separate problem.This 9R I bought on 29th May n put to use from 7th June onwards I must say the phones performance is underwhelming. The said 120hz of speed is actually not felt at all. Infact my one plus 6 is much faster when I use it despite that being a 8 &128 variant. This is supposedly 12&256 but I am not happy with the 12GB ram performance. Even the keypad is very bad. It keeps switching between apps while typing more often and that's damn irritating.Overall my recommendation is to NOT go for this at the price point as the performance claimed is not what you get.Am happy with warp charging though, it's r ally quick than any predecessor. Camera quality is just good nothing great to boast about."
151,JJ Joseph,Loving OnePlus,5.0 out of 5 stars,"  This being my first premium smartphone, I am quite happy with it after using for 3 weeks. Phone is super smooth and fast. Charging is pretty quick which takes almost 35 min to go from 0 to 100. Battery discharge is slightly quick as well but only with heavy usage. Camera quality is pretty good too."
152,Deepak,Oneplus 9R Beast,5.0 out of 5 stars,"  I must say oneplus 9R is definitely grab the deal offer in terms of build quality, haptic feedback, and competitive prices. Yes ofcourse some lack in camera but it's not completely bad at all you will find decent picture in pro mode, dynamic range is also good. 120hz buttery smooth. Oxygen os simply amazing, now come to battery, it will give you almost 12hours for average user. Product is awesome and loveable. On first set up, user will find an update some tweaks. Metallic frame gives you strong build quality the same is not available in OnePlus 9. user will get 109gb out of 128gb.Delivery with 2 days for prime in Chennai."
153,Manu,Practical choice among OnePlus 9 series,4.0 out of 5 stars,"  1. PERFORMANCE -Well 870 processor working upto the mark I would say.I'm not a heavy gamer anymore but did some gamingLike Bgmi, Nba 2k20 (3 gigs), CodmLemme start with BgmiPhones display runs on 120hz and Bgmi on 60 max for now (software update may change that)You'll feel like it's lagging, well display just shifted from 120 to 60hz sooo it's obvious butFrame rate were constant 58-60 (Hd+extreme)Also Bgmi is buggy and glitchy.Nba and Codm felt more smooth.Score - 9/102. CAMERAOnly weak point of this phone I would say.Let me make this clear first.Not the camera sensor is bad but it's the software optimization that is bad.I attached some photos above you can check.First photo is taken from stock app and later one from gcamFollow the same order for the latter pics.As you can clearly see the difference that pic from gcam were more detailed and contained more natural colour. Dynamic ranges are also good.Last one is from stock cam with little bit of editingVideo - I don't shoot videos much so I don't know for sure but one thing is worth mentioning is that it has OIS that OnePlus 9 doesn't. (So much for flagship device)Again software optimization needed in camera department.Score - 7.53. DISPLAY120hz smooth afVery less tint on display which is known in amoled high refresh rate displayYeah there is pink tint when you view it from charger socket point but no one uses a phone from that angleAlso there are some flickering on lowest brightness also common in amoled screensScore - 84. OSOOS is the most cleanest UI out there in market after pixel uiRam management is more than enoughAnd now OnePlus made an announcement that they will provide 3 major android update + 4 years of security patch updateScore - 9Overall - 8.3Overall very good device"
154,Tony c.,At this price point actually am not satisfied,4.0 out of 5 stars,"  This how I actually see the phone from my point of view,The phone's processor is very much powerful and heavy gaming efficient.The battery is a major setback, although you turn down all the performance related quirks (like tuning down from 120hZ to 60hZ and turning off the ambient display) in the phone, it still seemed to drain quiet fast. It's just good for a day's normal use.The phone had severe heating issues, like seriously😑, it's ok if it gets heated up during a gaming session but during watching YouTube at 1080 p and Netflix, watching ig reels, n during online shopping like for real🙄. The phone gets really hot when charged.Coming to charging, I was actually baffled by the fact that the phone gets fully charged within 34 minutes (prolly the reason why it gets heated real bad) other than that hats iff to 65w charging.Other than that the OS provides a really user friendly experience and provides more customisation to your preference and tastes.The camera is flawless and am not disappointed, but low light selfies can be better.The phone's build is so sturdy and really premium in hand with a metal frame and gorilla glass on the front as well as back.Note: The black 9r provides a matte finish back aka frosted glass and the blue 9r provides a glossy finish.This was my opinion of the phone, as a whole a really good and potential phone with minor tweaks and updates it may take its place in the flagships."
155,Amazon Customer,Can't install apps !,3.0 out of 5 stars,"  I received my OnePlus 9r today ie 25 April 2021 and when after setting up the device, I tried to install various apps I found out that a lot of apps cannot be installed. Apps like instagram, Paytm, all amazon apps can't be installed. I had a word at the OnePlus customer care and tried both hard and soft factory reset but the problem still persists. Since we have too many covid cases here in Ghaziabad, going to the service center is not a viable option.Will be returning this phone if the problem remains.Edit: All apps got installed after a patch update. Not replacing the phone, will update the review again after a few weeks."
156,Serlin,Superb device with palm warming technology,3.0 out of 5 stars,"  My device is a 12GB - 256GB variant, and by experience and score for the device is given below.Design & Build - 3.5 star, very handy and access to physical switches and Back camera positioning is appreciable. In hand, feels like premium. Thickness and weight distribution is good. Phone heating will help to overcome the winter season's extreme cold. Summer season, recommend to use in indoors and in air-conditioned rooms.Screen - 4 star, brightness is good. 120hz smoothness is not much noticeable for a normal user. Fingerprint scanner position in screen is easy to use. Extended use will bring the heat to the screen.Camera - 3 star for Normal, Portrait & Wide Shoots & 4 star for Macro & Video Stabilization & 0 star for Tele and Other features. Night and Panorama shots are completely waste. Close enough to a 15-20k phones. Selfie photos will amaze you !!! , there is no match with real face shape.Battery - 3 Star, Normal user require 2 times charging in a day. Heavy users, plug n play recommend. Over heating is the main thing will get noticed even for Normal users. Recommend to use in winter season for a warm feel in Palms.Charger - 4.5 Star - It is the only thing which delivered the results as per the ADs. While charging also it get warm but need not to worry, it will only take 30-35 min for full charge.Recommend to keep it in a flat metal surface while charging, so that heat will be distributed to the metal and keep the device cool.Overall experience and score - Average & 3.5 star.OnePlus Goodwill is the only thing people are buying this phone. This would be the model which will help the brand to be with average and below average phone makers.Not recommend for Normal users (Hope Heavy gamers understand) if you really want to have this model, Buy Ice water bag along with this, would help to reduce the heating issue 🤪😜😝."
157,Ujjawal,Pros and Cons both covered.,4.0 out of 5 stars,"  Great Device .Pros and cons are mentioned below:1. Battery life : Very good at 60Hz and okayish at 120 Hz which is very obvious.It would have been better if there was an automatic refresh rate option. I have seen it in realme device of 12_15K price segment  . Found that feature impressive. But sadly it is not in oneplus 9R.2. Screen quality is excellent.3. Camera (Stock) is not satisfactory , but with G-Cam u will be able to click superb quality pictures with natural colours and lot of details in pictures.4. No lag at all. Feels so so smooth even at 60 hz . It would have been better if there was 90 hz option as well , which is intermediate to both 60 and 120 .5. Gaming : Pubg running without any lag . Even in hotdrops no lag was observed. Battery consumption is also satisfactory.6. Charging: The best part of this phone. In 20 minutes it went from 20% to 83% and takes around 35 _38 minutes in 0% to 100%.7: Heating : Max i observed was 39_40 degree C during setting up of the phone.In gaming the temp goes around 34_38 which is perfectly fine i guess.No overheating was observed till now.Writing this review after 3 days of usage.Thanks."
158,VINOD,Best All-rounder Phone!,4.0 out of 5 stars,  I Purchased The Phone And It Took 5-6 Days To Get It Delivered To Me By Amazon..The Delivery Service Was Not Great But..As Far As I Am Concerned I Am New To OnePlus Fam..But I had Recently Used OnePlus Phones Of My Family And Friends..And Since Then I Wanted To Buy One..I was Initially Going To Buy The OnePlus 8T but when i saw this was getting announced Then Why not! So Regarding The Phone!PRO'S:** Superb Vivid Display** OnePlus UI (The Best Android UI)** Above Avg Battery Life And Great Charging Speed(i am someone who uses for a whole lot if Social Media And Stuff And It's Gets Through My Day With A Little Juice Up Towards Night)** Nice Rear Cam..For General And Random Purpose Not Recommended If You Are A Photography Lover!** Haptic Feedback Is Excellent** Great SpeakersCON'S:** Selfie Cam Is A Litlle Disappointing** Phone Gets A lil heated When Charging But Nothing To Be Worried** No Expandable Memory Supported!!** Not Water ResistantConclusion:If Your A Android Lover And want a clean UI..You Have A Budget Around 40k..This Is The Best All-rounder Phone To Go! IT WON'T DISAPPOINT YOU!Will Update If Anything Comes Up!
159,Akshay,A decent piece of tech with a few shortcomings.,3.0 out of 5 stars,"  I would say the phone is okay because I feel it's almost there but it's still miles away from being the best, I saw a lot of stigma for the OP 9 lineup maybe it's true maybe it's not that is subjective, but as far as I can tell phone does get warm at times I think a couple of updates would get rid of the heating issues.The stock cameras are good, I tried the Google cam trust me fellow buyers the quality was magical, im sure it will impress you.One major issue I faced the calls tend to drop abruptly that's one annoying thing im facing.Many major apps need optimization for instance YouTube sometimes doesn't feel like 120hz that's a bummer I want the dev team to address this asap.Frequent times a few apps don't open but give it a moment or 2 it responds.Ahh I hate to say this but the audio output this thing produces is just crap just plain garbage I use expensive earphones like xb75 ap Sony it makes it sound average no extensive settings available in Dolby atmos I demand oneplus fixes this issue.I'm not a great reviewer but this is my honest opinion hope this helps."
160,Pankaj,Perfect Flagship phone by oneplus,4.0 out of 5 stars,"  i am writing this review after use of one week.This my first experience with OnePlus brand and i really impressed with the performance for which OnePlus knows. it's just super in every aspect like Display, Performance, Battery charging speed and aesthetic point of view. only problem which is observed on my phone is its dual led flash at back side and one of the led is not working, please help me to get this issue fix."
161,Vishal Agarwal,Great performance with best UI nd fluid display but with an Average Camera,4.0 out of 5 stars,"  Oneplus is Oneplus no major complaints from this phone but the wired thing was.. While unboxing the phone, ""I was surprised as the phone was in ON state in the box.""This is first time i have seen a phone inside a box with open screen.Rest camera is good for day time... In low lights it catches grains nd noise.Yeah the phone heats easily but I hope they will resolve this with future updates.In-display-fingerprint is not that fast like we get in Rear nd side panels but this also ok.Rest everything is best in this phone... Either it is display, smoothnes of UI, customization, fast charging,Ambient Display,etc."
162,Manish Kumar,Value for money phone in OnePlus 9 series,5.0 out of 5 stars,"  The phone is really good. Initially I was sceptical after reading about the heating issues, but I don't see any heating issues as such on this phone. Seema the issue might have got resolved. The performance of the phone is significantly good and feels like a premium phone. A good deal for me indeed"
163,Hanish,Awesome Display and Performance,4.0 out of 5 stars,"  i have been using this device as my daily driver from past one week and here is a detailed review.Pros:1. Great Display.2. Best performance.3. Good Haptic feedback.4. Best user interface out of all android phones.5. It really charges very fast -- helps people who charge their phone after waking up.6. Very good touch response.7. Dark theme customisations are really good.8. Decent camera for 40k price (dynamic range is better than samsung galaxy S20 FE)9. OnePlus community is really cool, if u have any problem you can instantly get suggestions from people all around the world.10. This phone is having very good ambient display notifications.11. If you are a ""Gamer"" then this mobile is for you.Cons:1. Back case issued in the box doesn't gives enough protection for you rear camera, but gives good protection for display.2. Battery discharges quick even if it is 4500mah, OnePlus need to work on it.3. Few users are facing heating issue, i didn't have it.4. Phone is very big can't operate with one hand.5. Some apps are getting crashed (software bugs so can be corrected from an update).6. Average rating for Night light mode in camera.7. This Phone is little bit bulky than my older device.8. Back is glass panel so need to be careful.9. Bumped out camera design,one should buy good protection case.10.No water proof at this price range also. (9 series dont have water proof)."
164,AB,Damaged screen,2.0 out of 5 stars,"  You see that tiny speck in the pic? It's the damaged screen, that I've got on my new phone. This is unacceptable Amazon, Darshita electronics and OnePlus. 43k was what I paid to get a damaged screen on new phone.Edit - I was given a new phone by Amazon. The problem with the first one was,it was a used handset.The phone that was delivered previously did not have a screen guard (the basic one that comes with every phone). My replaced device has a screen guard."
165,Amazon Customer,Worst phone in the market,1.0 out of 5 stars,"  Constantly getting pop-up for Google Play services not functioning. There's a pop-up every 3-4 seconds. Has made the phone unusable! Apart from this, even regular apps like whatsapp hang. This phone isn't even one month old and looks like a complete disaster. Had OnePlus 5 before this and it worked like a charm till the screen broke recently. Will never buy OnePlus again."
166,P,Worst phone purchased in last 10 years,1.0 out of 5 stars,"  The phone works extremely slow, takes 2-3 minutes to delete 2+ pictures selected together, hangs 10-15 times a day, camera is worse than oneplus 5. Ideally, I would want to return this piece of junk but Amazon's policy says it can't be returned. But getting a replacement has become mammoth of a task. All in all, a terrible experience with this phone and Amazon's policies of refunds and replacements because a 40k worth of phone is of no use to me in the first 2 weeks of purchase."
167,Chinu sekh,One plus is the best,5.0 out of 5 stars,  No complaints. The best quality is vapour cooling. when Phn gets heated it automatically cools down to normal temperature. Camera quality is good. I am satisfied. For better graphics go to game mode and enable graphics optimization.
168,Good product .,Good phone don't expect much,4.0 out of 5 stars,"  Honestly, a good phone. Don't expect too much. It's a base version of 9 series. Build quality is very good, sound is stereo and you will enjoy it. Screen is very good. Battery life is amazing after update. Catches range everywhere. Phone call is very crisp and clear. Very fast performance.Only disappointed by camera. Very average quality."
169,Rajesh Chouhan,Best budget phone to buy,4.0 out of 5 stars,"  Its been a month since I have been using this phone (12+256), below are the pros and cons.PROS:1. Amazing build quality2. Comes with good ram and storage power3. Superfast in some sections4. Scintillating camera quality5. Refresh rate is fantastic6. Enabled face detection,  works smoothly7. Bettery stand-up time is around 9 to 12 hrs on Normal use.CONS:1. I have12gb ram variant but gmail app is drastically slow, I was not able to reply someone.2. Gallary photos are loading very very slow, disappointed in these 2 sections as of now, will keep updating3. Eventhought the Alexa is in built had to download the app and its not upto the mark.Overall:The Best product in this range. If you have this much budget GO 4 IT."
170,Nishant Tomer,Poor camera and heating issue,1.0 out of 5 stars,  Not a good phone for this price range. Poor camera performance and heating issue make it the worst phone in this price range.
171,Sumanth Aradhya,Absolute midrange master!!,4.0 out of 5 stars,"  Great looking phone with great hardware and software. Snapdragon 870 processor gets things done in a snap. Fast charging is great, charge for 20-30 mins and you are covered for a complete day with normal usage. Camera does a great job with natural light as well night light with amazing nightscape option. Top-class product from a top-class brand. Heating issues are noticed during heavy usage and charging, but also depends on room temperature, hope this will be fixed with upcoming software updates."
172,Vaibhav Saxena,Good camera quality and built quality.,4.0 out of 5 stars,"  So I bought onePlus phone for the first time and the overall phone seems to be surprising.The device has a sleek design with glass front and backThe ""camera quality"" especially seems to be awesome.You have setting for taking pics in 2 formats 12MP &48MpP and both work good.Battery is super fast charging and the discharge of battery is not to high (depending the apps in background)Faced some overheating issue in the starting but not consistent,may be because the device would be doing some multiple tasks after boot.Overall the phone is good and is worth the price"
173,MOHAN KUMAR,Check for issues,3.0 out of 5 stars,"  People i faced major call drop issues and I would not be able to hear during a call, also automatic Bluetooth connectivity for wireless headset fails. Camera is bad. Apart from that rest okay. I'm moving from one plus 3T to one plus 9r but now going for replacement."
174,Shashank Verma,Product delivered without any damage and with safety. Happy with my delivery.,5.0 out of 5 stars,"  The new one plus 9R is a Xerox copy of its brother 8T. In the tech world it's an unwritten saying that you should go with the latest. Hence chose 9R over 8T. Phone is handy for me as I do have big hands, some might find it a little tough to handle. Performance is amazing. Photo quality is pretty good. With some basic photography knowledge you can click the right photo acc. to the sutuation, however if you want better looking (colour wise) pics, you might be interested in getting a higher version of One Plus 9. Battery life is sufficient enough to survive a day and it charges in 45-50 mins when left ideal. If you want to know more in detail, you can dm me on instagram (@the_bearded_chevalier)"
175,aravind,"Good device at Market now,but no value for money",4.0 out of 5 stars,"  Camera: I am satisfied with back camera,but coming to front camera in the night mode expecting better camera ,not value for interms of front cameraPerformance: excellent mainly for gamingScreen resolution: wonderful, mainly Oxygen OS is adding beauty for this deviceProcessor: no words, excellentBattery: no words , excellentValue for money : when compared to the same configuration I am getting other branded mobile at the price of 30k ,but one plus brand is failed to provide quality camera so I can't say this model is value for money ,if it was 30-35 k price range ,I definitely give 5 stars"
176,Nikhil Srivastava,Want a best 5G flagship budget phone ? Go for One plus 9r,4.0 out of 5 stars,"  Your browser does not support HTML5 video.


   My experience of this phone is really good, fingerprint reader is working smooth, battery life ok I had used this phone for at least two days and I realised that you have to charge this phone at least twice if you are using normally and you have to charge it thrice or four times if you are using heavy and at last the camera quality is awesome.if you are a gamer then the gaming experience and performance of 9r is awesome.if you are looking for best camera best performance 5G phone then you should go for one plus 9r, overall if you look at this phone, it is best flagship budget phone."
177,Kunal,This is an awesome device.,5.0 out of 5 stars,  Serious heating issues while changing it overheats and while playing games or doing any heavy tasks this phone heats like it it's burning. And phone is not well optimized and oneplus is not giving updates to this as doing for pro models and phones seriously lags and stuck apps even apps are crashing camera is worst ever. Battery life is ok but charging is good but the worst thing is snapdragon 870 it is not properly optimized worst experience ever even gallery of phone stucks and takes a lot of time to load images. Better go for iPhone 11 YouTubers are right about this I'm regretting after using this phone. After updates every thing is fixed it is really better than iPhone 11 after updates every is superb now.
178,Ananth,All about software and speed,5.0 out of 5 stars,"  Sold my OnePlus 6(which was still a beast but the volume button was not working properly) and bought this phone. If you have used a OnePlus phone, then this phone will satisfy you.Pros of this phone *for me*:-Oxygen os (fast & minimal)-Camera (compared to other flagship phones, camera is not that good but it's really good compared to OnePlus 6)-Charging speed (really fast charging but there is some heating issue)-Speaker/sound/mic/call quality (very good compared to OnePlus 6)-Very minor heating while gaming (played cod for around 40 mins, the phone heated up maybe 1 or 2 degrees compared to normal temperature)-Display (for the cost, display is excellent)-Fast processor (in practical usage, you won't see that much difference between Snapdragon 888 & 870)-No defects/bugs/issues except for the heating issue while charging-Battery (I'm not a hard-core gamer/user and I easily get 1 day battery)Cons *for me* :-No headphone jack (it was there in OnePlus 6 🥲. If you use a Bluetooth earphone/headp hone this is not a con for you)- No LED light/indicator"
179,Himani,Not as per legacally 1plus phones,1.0 out of 5 stars,  It is switching off in evry 1 mins if i am using camera for long.The camera quality is very poor looks like a 5k local phone.screen size is too small as compared to my earlier 1plus 6 phone.Big No
180,Ehsanul Haque,Good but not the best in the price segment.,4.0 out of 5 stars,"  One Plus is a brand that can be trusted.One Plus 9R is a really good device that will give you a good and proper flagship experience. The camera could be a little better. But still at this price range, there are better alternatives. Don't just buy it impulsively. Check other devices like IQOO7 or MI 11X and think about the device which suits your needs."
181,ARNAB BHAUMIK,Very good phone,5.0 out of 5 stars,  This is a good phone for official usage. The UI is very good as well as a very good feeling of haptic feed back. You will have a feather touch like experience. Very good sound quality. While using headphone you will get Equalizer settings which improve customize sound quality.Good build quality.Good display.Good sound.Decent camera.We will find heating using but it is for the natural characteristics of the 877 processor. You will find the same issue for all the 877 processor phones.Camera in low light and front camera is not very best. Just do a decent work.Not good for Gamers.
